,UNI,Status,JobType,Price (tax not included),Pricewithtax,Date,Time,Notes,Employee UNI,Paid/Unpaid,,,,,,,,,
hnh2107_board 2,hnh2107,Completed,Heavyweight Bond,$12.00 ,13.07,2/7,,24x36,Diana,Unpaid,,,,,,,,,
sl3620_operative.pdf,sl3620,Completed,Heavyweight Bond,$12.00 ,13.07,2/7,,20x20,Diana,Unpaid,,,,,,,,,
hnh2107_BOARD1A.pdf,hnh2107,Completed,Heavyweight Bond,$12.00 ,13.07,2/7,,24x36,Diana,Unpaid,,,,,,,,,
yt2405_pinup.pdf,yt2405,Completed,Lightweight Bond,$4.00 ,4.36,2/7,,12x36,Diana,Unpaid,,,,,,,,,
,,,,,,2/8,,,,,,,,,,,,,
bj2306-site.pdf,bj2308,Completed,Lightweight Bond,$8.00 ,8.71,2/9,,36x24,drp2122,Unpaid,,,,,,,,,
twc2115_Cube_3x3.pdf,twc2115,Completed,Lightweight Bond,$12.00 ,13.07,2/10,,36x36,el2717,Paid,,,,,,,,,
kk2839-section2.pdf,kk2839,Completed,Lightweight Bond,$16.00 ,17.42,2/10,,36x48,el2717,Paid,,,,,,,,,
Snt2117_Objectstudy.pdf,snt2117,Completed,Lightweight Bond,$8.00 ,8.71,2/10,,18x36,el2717,Paid,,,,,,,,,
ep2670_section_01.pdf,ep2670,Completed,Lightweight Bond,$16.00 ,17.42,2/10,,36x48,el2717,Paid,,,,,,,,,
hy2323 plot 0210,hy2323,Completed,Lightweight Bond,$8.00 ,8.71,2/10,,24x36,el2717,Paid,,,,,,,,,
mhs2185_ICONOS copy 2.pdf,mhs2185,Completed,Lightweight Bond,$12.00 ,13.07,2/10,,36x36,el2717,Paid,,,,,,,,,
hl2689_MumbaiMap,hl2689,Completed,Lightweight Bond,$8.00 ,8.71,2/10,,34x22,el2717,Paid,,,,,,,,,
lmm2276_w2,lmm2276,Completed,Lightweight Bond,$8.00 ,8.71,2/10,,36x18,el2717,Paid,,,,,,,,,
sb3461_FINAL SECTION,sb3461,Completed,Mylar,$72.00 ,78.39,2/10,,36x96,el2717,Paid,,,,,,,,,
BANK_PRE_A+B_001,bfg2110,Cancelled: no UNI,Mylar,,0.00,2/10,,,el2717,,,,,,,,,,
sc3549_48X36_Myla,sc3549,Completed,Mylar,$16.00 ,17.42,2/10,,36x48,el2717,Paid,,,,,,,,,
lmw2163_section021014.pdf,lmw2163,Completed,Heavyweight Bond,$24.00 ,26.13,2/10,,36x48,el2717,Unpaid,,,,,,,,,
md3096_ObjectLesson2.ai,md3096,Completed,Mylar,$18.00 ,19.60,2/10,,36x24,el2717,Paid,,,,,,,,,
WC2470,WC2470,Completed,Mylar,$18.00 ,19.60,2/10,,36x24,el2717,Paid,,,,,,,,,
mhs2185_mylar_icons,mhs2185,Completed,Mylar,$9.00 ,9.80,2/10,,36x12,el2717,Paid,,,,,,,,,
su2179_objectlessonAB_board2,su2179,Completed,Mylar,$27.00 ,29.40,2/10,,36x18,el2717,Paid,,,,,,,,,
jmg2222_Urban Section.ai,jmg2222,Completed,Heavyweight Bond,$24.00 ,26.13,2/10,,12x48,mih2113,Paid,,,,,,,,,
sbb2152_MondayPresentation.psd,sbb2152,Completed,Lightweight Bond,$20.00 ,21.78,2/10,,36x50,mih2113,Paid,,,,,,,,,
lmd2187_object lesson 2.0 reduced file size.pdf,lmd2187,Resend: Rotate plot,Lightweight Bond,,0.00,2/10,,,,,,,,,,,,,
lmw2167_BOARD1+2,lmw2167,Completed,Mylar,$27.00 ,29.40,2/10,,36x18,el2717,Paid,,,,,,,,,
sdp2135_sectionjanettekim_lapcu.ai,sdp2135,Completed,Heavyweight Bond,$18.00 ,19.60,2/10,,36x18,mih2113,Paid,,,,,,,,,
rll2165_mylar_36x112_P01,rll2165,Completed,Mylar,$90.00 ,97.99,2/10,,36x112,el2717,Unpaid,,,,,,,,,
rll2165_mylar_36x112_P02,rll2165,Completed,Mylar,$90.00 ,97.99,2/10,,36x112,el2717,Unpaid,,,,,,,,,
lmd2187_object lesson 2.0 reduced file size.pdf,lmd2187,Resend: Incorrect size 13x19,Lightweight Bond,,0.00,2/10,,,,,,,,,,,,,
"lmd2187_object lesson 2.0 reduced file size2.pdf, lmd2187_object lesson 2.0 reduced file size.pdf",lmd2187,Completed,Lightweight Bond,$32.00 ,34.84,2/10,,36x48 (2x),mih2113,Paid,,,,,,,,,
alo2116_Kim_090214_CS5.pdf,alo2116,Completed,Lightweight Bond,$16.00 ,17.42,2/10,,36x48,mih2113,Unpaid,,,,,,,,,
ljj2112 _ N BK Map 2.,ljj2112,Completed,Mylar,$18.00 ,19.60,2/10,,24x24,el2717,Paid,,,,,,,,,
bfg2110_BANK_PRE_A+B_001.pdf,bfg2110,Completed,Mylar,$18.00 ,19.60,2/10,,24x36,mih2113,Paid,,,,,,,,,
cw2761.pdf,cw2761,Completed,Lightweight Bond,$8.00 ,8.71,2/10,,24x36,mih2113,Paid,,,,,,,,,
mes2253_Framework.pdf,mes2253,Completed,Lightweight Bond,$16.00 ,17.42,2/10,,36x48,mih2113,Paid,,,,,,,,,
board_pin up.pdf,pjc2161,Cancelled: no UNI,Heavyweight Bond,,0.00,2/10,,,,,,,,,,,,,
14_02_10_A1_PAV2117.pdf,pav2117,Resend: Rotate plot,Heavyweight Bond,,0.00,2/10,,,,,,,,,,,,,
sound drawing.psd,hc2690,Cancelled: no UNI,Mylar,,0.00,2/10,,,,,,,,,,,,,
PJC2161_001.pdf,pjc2161,Completed,Heavyweight Bond,$36.00 ,39.20,2/10,,36x72,mih2113,Paid,,,,,,,,,
14_02_10_A1_PAV2117.pdf,pav2117,Completed,Heavyweight Bond,$18.00 ,19.60,2/10,,24x36 (not rotated),mih2113,Unpaid,,,,,,,,,
sat2174 Object Lesson Final.pdf,sat2174,Completed,Heavyweight Bond,$18.00 ,19.60,2/10,,18x36 (2x),mih2113,Paid,,,,,,,,,
NAS2157 section FLAT.tif,nas2175,Completed,Lightweight Bond,$16.00 ,17.42,2/10,,20x48,mih2113,Paid,,,,,,,,,
eem2163.pdf,eem2163,Completed,Mylar,$18.00 ,19.60,2/10,,36x18,mih2113,Paid,,,,,,,,,
vl2302 print lace.indd,vl2302,Completed,Mylar,$27.00 ,29.40,2/10,,36x36,mih2113,Paid,,,,,,,,,
SL3618_translation ab.pdf,sl3618,Completed,Mylar,$18.00 ,19.60,2/10,,36x18,mih2113,Paid,,,,,,,,,
pjc2161_002.pdf,pjc2161,Completed,Heavyweight Bond,$12.00 ,13.07,2/10,,24x36,mih2113,Paid,,,,,,,,,
pjc2161_14_02_10_A1.pdf,pjc2161,Completed,Heavyweight Bond,$18.00 ,19.60,2/10,,22x34,Diana,Paid,,,,,,,,,
hl2689_final.pdf,hl2689,Completed,Lightweight Bond,$8.00 ,8.71,2/10,,22x34,Diana,Unpaid,,,,,,,,,
hc2690 sound drawing.psd,hc2690,Completed,Mylar,$18.00 ,19.60,2/10,,22x34,Diana,Paid,,,,,,,,,
gkg2109.pdf,gkg2109,Completed,Mylar,$18.00 ,19.60,2/10,,18x34,Diana,Paid,,,,,,,,,
2014.02.10.pdf,,Cancelled: no UNI,Lightweight Bond,,0.00,2/10,,,Tito,Student Error,,,,,,,,,
hc2690 program sound bank.ai,hc2690,Completed,Mylar,$18.00 ,19.60,2/10,,18x24,Tito,Unpaid,,,,,,,,,
es3099_SiteModel_32nd.pdf,es3099,Completed,Lightweight Bond,$24.00 ,26.13,2/10,,36x66,mem2299,Unpaid,,,,,,,,,
ci2195-2014.02.10.pdf,ci2195,Completed,Heavyweight Bond,$12.00 ,13.07,2/10,,33x24,mem2299,Unpaid,,,,,,,,,
ng2485_1-16_base_photo_print.pdf,ng2485,Completed,Lightweight Bond,$8.00 ,8.71,2/11,,36x24,hk2658,Paid,,,,,,,,,
scc2159_PrelimPlot.pdf,scc2159,Completed,Lightweight Bond,$8.00 ,8.71,2/11,,24x36,Diana,Unpaid,,,,,,,,,
BroadwayTickets.pdf,,Cancelled: no UNI,Heavyweight Bond,,0.00,2/11,,,,,,,,,,,,,
jml2275_AT5_assignment_02_plans.pdf,jml2275,Completed,Lightweight Bond,$8.00 ,8.71,2/11,,24x36,xf2130,Paid,,,,,,,,,
jml2275_AT5_assignment_02_elevation_00.pdf,jml2275,Student cancelled job,Lightweight Bond,$16.00 ,17.42,2/11,,36 x 48 in.,xf2130,Paid,,,,,,,,,
jml2275_AT5_assignment_02_elevation_00.pdf,jml2275,Completed,Lightweight Bond,$8.00 ,8.71,2/11,,34x22in,xf2130,Paid,,,,,,,,,
,,,,,,2/12,,,,,,,,,,,,,
,,,,,,2/13,,,,,,,,,,,,,
        eo2319_Activist_Drawing (3).pdf,        eo2319,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,22x22,kir2108,Unpaid,,,,,,,,,
eo2319_1_2_Potent_Photos.pdf,eo2319,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,22x22,kir2108,Unpaid,,,,,,,,,
gjp2124 Phase_3 Boards (2)-1,gjp2124 ,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,24x36,kir2108,Unpaid,,,,,,,,,
bpv2102_phase3_pinup_round2.pdf,bpv2102,Completed,Heavyweight Bond,$90.00 ,97.99,2/14,,24x36,,Unpaid,,,,,,,,,
mtk2127 pinup 02142014.pdf,mtk2127,Completed,Mylar,$18.00 ,19.60,2/14,,32x32,,Unpaid,,,,,,,,,
        sl3620_syntext.pdf,        sl3620,Completed,Mylar,$18.00 ,19.60,2/14,,36x20,,Unpaid,,,,,,,,,
hcn2109_phase3_5_print.pdf,hcn2109,Completed,Mylar,$45.00 ,0.00,2/14,,36x66,,Paid,,,,,,,,,
pam2176_021414_phase2.pdf,pam2176,Completed,,,0.00,2/14,,,,,,,,,,,,,
        gjp2124 Phase_3 Boards (2)-2,        gjp2124,Completed,Heavyweight Bond,,0.00,2/14,,,,,,,,,,,,,
gbb2116_StereoscopicSection_20140215.pdf,gbb2116,Resend: Incorrect size 13x19,Heavyweight Bond,,0.00,2/14,,,,,,,,,,,,,
rwt2110_MisalignedTerritory_021414.pdf,rwt2110,Completed,Heavyweight Bond,$24.00 ,26.13,2/14,,36x48,,Unpaid,,,,,,,,,
hnh2107_02-14.pdf,hnh2107,Completed,Mylar,$18.00 ,19.60,2/14,,36x24,,Unpaid,,,,,,,,,
        sl3620_activism.pdf,sl3620,Completed,Mylar,$18.00 ,19.60,2/14,,24x20,,Unpaid,,,,,,,,,
bah2150_activist drawing.pdf,bah2150,Completed,Mylar,$36.00 ,39.20,2/14,,36x24,,Unpaid,,,,,,,,,
gbb2116_StereoscopicSection_20140215.pdf,gbb2116,Completed,Heavyweight Bond,$18.00 ,19.60,2/14,,36x36,,Paid,,,,,,,,,
sl3620_Elevation_Composite.pdf,sl3620,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,20x20,,Unpaid,,,,,,,,,
eo2319_Syntax_1+2.pdf,eo2319,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,22x22,,Unpaid,,,,,,,,,
hcn2109_precedent_print.pdf,hcn2109,Completed,Heavyweight Bond,$24.00 ,26.13,2/14,,36x48,,Paid,,,,,,,,,
eo2319_Drawings_20x20.pdf,eo2319,Completed,Heavyweight Bond,$48.00 ,48.00,2/14,,20x20,,Unpaid,,,,,,,,,
jd3060_boards_2.14.ai,jd3060,Completed,Heavyweight Bond,$18.00 ,19.60,2/14,,36x36,,Unpaid,,,,,,,,,
jab2364_CS_A2_Drawing.psd,jab2364,Completed,Lightweight Bond,$28.00 ,30.49,2/14,,36x83,,Unpaid,,,,,,,,,
jp3368_021414.pdf,jp3368,Completed,Heavyweight Bond,$24.00 ,26.13,2/14,,36x48,,Unpaid,,,,,,,,,
mil2119_Phase3.ai,mil2119,Completed,Heavyweight Bond,$24.00 ,26.13,2/14,,36x48,,Unpaid,,,,,,,,,
bah2150_precedent section 1.pdf,bah2150,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,36x24,,Unpaid,,,,,,,,,
rbw2132_translation2d5.pdf,rbw2132,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,20x20,,Unpaid,,,,,,,,,
rbw2132_translationsyntax2.pdf,rbw2132,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,20x20,,Unpaid,,,,,,,,,
        WSB2119-Lifta-Emmigration.pdf,        WSB2119,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,22x22,,Unpaid,,,,,,,,,
sl3620_plan-circulation.pdf,sl3620,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,24x20,,Paid,,,,,,,,,
sl3620_Plan_Composite [Converted] (1).pdf,sl3620,Completed,Heavyweight Bond,$12.00 ,13.07,2/14,,24x20,,Paid,,,,,,,,,
ek2801_cover.pdf,ek2801,Completed,Mylar,$9.00 ,9.80,2/14,,36x9,xf2130,Paid,,,,,,,,,
,,,,,,2/15,,,,,,,,,,,,,
rz2230 Rong Zhao mylar adr.pdf,rz2330,Completed,Mylar,$18.00 ,19.60,2/16,,18 x 24,xf2130,Paid,,,,,,,,,
,,,,,,2/17,,,,,,,,,,,,,
print elevations eem2163.pdf,eem2163,Completed,Mylar,$9.00 ,9.80,2/18,,36x12,el2717,Paid,,,,,,,,,
Microsoft Word - Case Brief,,Cancelled: no UNI,Lightweight Bond,,0.00,2/18,,,drp2122,,,,,,,,,,
sj2609_CURE BOOKLET_PLOT_v5 (1).pdf,sj2609,Completed,Heavyweight Bond,$12.00 ,13.07,2/18,,30x25,drp2122,Unpaid,,,,,,,,,
,,,,,,2/19,,,,,,,,,,,,,
0220 Drawing After Computer [Converted].pdf,tlg2130,Cancelled: no UNI,Mylar,,0.00,2/20,,,sn2529,Unpaid,,,,,,,,,
tlg2130 _ drawing.pdf,tig2130,Completed,Mylar,$9.00 ,9.80,2/20,,36*13,sl3530,Paid,,,,,,,,,
tt2310_intencities,tt2310,Completed,Mylar,$27.00 ,29.40,2/20,,36x36,kr2202,Unpaid,,,,,,,,,
Presentation Boards_2.21_jd3060.ai,jd3060,Completed,Heavyweight Bond,$18.00 ,19.60,2/20,,36x36,kr2202,Unpaid,,,,,,,,,
bpv2102 phase 5 pin-up boards quarter review 18 x 18 format.pdf,bpv2102,Completed,Heavyweight Bond,$18.00 ,19.60,2/20,,36x36,kr2202,Paid,,,,,,,,,
rbw2132_quartercombined4.pdf,rbw2132,Completed,Heavyweight Bond,$18.00 ,19.60,2/20,,36x36,hk2658,Unpaid,,,,,,,,,
lmd2187 - cables and atms.pdf,lmd2187,Completed,Mylar,$9.00 ,9.80,2/20,,20x10,hk2658,Paid,,,,,,,,,
tt2310_DIAGRAM BOARD.pdf,tt2310,Completed,Mylar,$36.00 ,39.20,2/20,,36x36,hk2658,Unpaid,,,,,,,,,
gkg2109Facades.pdf,gkg2109,Completed,Mylar,$18.00 ,19.60,2/20,,36x16,hk2658,Unpaid,,,,,,,,,
Untitled,,Cancelled: no UNI,,,0.00,2/20,,,,,,,,,,,,,
        gkg2109_modelvellum.pdf,gkg2109,Completed,Mylar,$36.00 ,39.20,2/21,,36x39,Diana,Paid,,,,,,,,,
eo2319_plot.pdf,eo2319,Completed,Heavyweight Bond,$18.00 ,19.60,2/21,,36x36,kir2018,,,,,,,,,,
atn14_Map_01.pdf,atn14,Completed,Mylar,$18.00 ,19.60,2/21,,36x24,Diana,Unpaid,,,,,,,,,
bah2150_EV 2_2.0 copy.pdf,bah2150,Completed,Heavyweight Bond,$12.00 ,13.07,2/21,,36x24,,Paid,,,,,,,,,
bah2150_quarter-2.pdf,bah2150,Completed,Heavyweight Bond,$8.00 ,8.71,2/21,,36x24,,,,,,,,,,,
bwp2110_PINUP_PROGRAM_Boards_REDUCED.pdf,bwp2110,Completed,Heavyweight Bond,$8.00 ,8.71,2/21,,36x24,,Unpaid,,,,,,,,,
aco2125 boards3.pdf,aco2125 boards3.pdf,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,36x24,,,,,,,,,,,
bpv2102 phase 5 pin-up boards quarter review 18 x 18 format second page.pdf,bpv2102,Completed,Lightweight Bond,$8.00 ,0.00,2/21,,36x24,,,,,,,,,,,
sl3620_pinup.pdf,sl3620,Completed,Mylar,$36.00 ,39.20,2/21,,36x18,,Unpaid,,,,,,,,,
sl3618_wilson studio3.pdf,sl3618,Completed,Mylar,$90.00 ,97.99,2/21,,36x54,,Unpaid,,,,,,,,,
vrk2104_CONCEPT PINUP.pdf,vrk2104,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,24x18,,Unpaid,,,,,,,,,
tsh2124_model_board_reduce.pdf,tsh2124,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,24x18,,Paid,,,,,,,,,
Elevation_jd3060.pdf,jd3060.pdf,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,18x18,,Unpaid,,,,,,,,,
zlm2105_Program.pdf,zlm2105,Completed,Lightweight Bond,$12.00 ,13.07,2/21,,36x36,,Unpaid,,,,,,,,,
web2117 Pinup Boards.pdf,web2117,Completed,Mylar,$36.00 ,39.20,2/21,,24x18,,Unpaid,,,,,,,,,
quarter review.pdf,,Cancelled: no UNI,,,0.00,2/21,,,,,,,,,,,,,
jf2838_board_plot.pdf,jf2838,Completed,Mylar,$18.00 ,19.60,2/21,,36x24,,Unpaid,,,,,,,,,
GJP2124_PHASE5 BOARDS,GJP2124,Completed,Heavyweight Bond,$18.00 ,19.60,2/21,,36x36,,Unpaid,,,,,,,,,
program.ak3266.pdf,ak3266.pdf,Resend: Incorrect size 13x19,Heavyweight Bond,,0.00,2/21,,,,,,,,,,,,,
hh2480,hh2480,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,36x24,,Unpaid,,,,,,,,,
jmm2361_material2.pdf,jmm2361,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,36x24,,Paid,bfg2110_BANK_PRE_Infographic_001.pdf,,,,,,,,
pam2176_quarter_review.pdf,pam2176,Completed,Heavyweight Bond,$30.00 ,32.66,2/21,,36x60,,Unpaid,,,,,,,,,
sat2174 Network Boards.pdf,sat2174 ,Completed,Heavyweight Bond,$30.00 ,32.66,2/21,,36x54,,,,,,,,,,,
bfg2110_BANK_PRE_Infographic_001.pdf,bfg2110,Completed,Mylar,$90.00 ,97.99,2/21,,36x54,,Paid,,,,,,,,,
EKY2104_FINAL_BOARD1- 3.pdf,        EKY2104,Resend: Incorrect size 13x19,Lightweight Bond,,0.00,2/21,,,,,cancled - please resend the wrong size came out,,,,,,,,
jmm2361_material1.pdf,jmm2361,Completed,Lightweight Bond,$12.00 ,13.07,2/21,,36x36,,Paid,,,,,,,,,
elevation.pdf,kir2108,Cancelled: no UNI,Lightweight Bond,,0.00,2/21,,,,,,,,,,,,,
laf2124_xraysection (1).pdf,laf2124,Completed,,,0.00,2/21,,,,,,,,,,,,,
lmd2187 - cables and atms2.pdf,lmd2187,Completed,Mylar,$9.00 ,9.80,2/21,,20x10,,Paid,,,,,,,,,
wc2470.pdf,wc2470,Completed,Mylar,$27.00 ,29.40,2/21,,36x36,,Unpaid,,,,,,,,,
GJP2124_precedent board,GJP2124,Completed,Heavyweight Bond,$12.00 ,13.07,2/21,,36x18,,,Plot CANCLED check you email,,,,,,,,
eo2319_section.pdf,eo2319,Completed,Heavyweight Bond,$12.00 ,13.07,2/21,,18x18,,,,,,,,,,,
hcn2109_print.pdf,hcn2109,Student cancelled job,Mylar,$27.00 ,29.40,2/21,,36x36,,Student Error,,,,,,,,,
rw2531_2.21n.pdf,rw2531,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,24x18,,,,,,,,,,,
hwr2105_q1boards.pdf,hwr2105,Completed,Mylar,$27.00 ,29.40,2/21,,36x36,,Unpaid,,,,,,,,,
bah2150_quarter-2.pdf,bah2150,Completed,Heavyweight Bond,$12.00 ,13.07,2/21,,36x24,,Paid,,,,,,,,,
Pin-up 3_Final Board.pdf,kir2108,Cancelled: no UNI,,,0.00,2/21,,,,,,,,,,,,,
pam2176_quarter_review.pdf,pam2176,Completed,Heavyweight Bond,$30.00 ,32.66,2/21,,36x60,,Unpaid,,,,,,,,,
hcn2109_print.pdf,hcn2109,Completed,Heavyweight Bond,$24.00 ,26.13,2/21,,36x42,,Paid,,,,,,,,,
eky2104_plot.pdf,eky2104,Completed,Lightweight Bond,$24.00 ,26.13,2/21,,36x24 (3),,,,,,,,,,,
rbm2148_ProgramDiagram.pdf,rbm2148,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,36x24,,,,,,,,,,,
lmw2167_chase_4.pdf,lmw2167,Completed,Heavyweight Bond,$12.00 ,13.07,2/21,,36x24,,Paid,,,,,,,,,
AC3627_FEB_21_2014.pdf,AC3627,Resend: Incorrect size 13x19,Lightweight Bond,,0.00,2/21,,,,,,,,,,,,,
Final Program Diagram.pdf,,Cancelled: no UNI,,,0.00,2/21,,,,,,,,,,,,,
Board 4.pdf,,,,,0.00,2/21,,,,,,,,,,,,,
mil2119Pinup2.21.14.02.ai,mil2119,Completed,Heavyweight Bond,$18.00 ,19.60,2/21,,36x30,,,,,,,,,,,
ljj2112_Boards quarter review.pdf,LJJ2112,Completed,Mylar,$36.00 ,39.20,2/21,,36x40,,Unpaid,,,,,,,,,
hnh2107_board1.pdf,hnh2107,Completed,Mylar,$18.00 ,19.60,2/21,,36x24,,Unpaid,,,,,,,,,
        rbw2132,rbw2132,Completed,Heavyweight Bond,$12.00 ,13.07,2/21,,20x20,,Unpaid,CANCLED PLEASE RESEND WRONG PAPER SIZE 19x13,,,,,,,,
mil2119_Bond.indd,mil2119,Completed,Heavyweight Bond,$24.00 ,26.13,2/21,,36x48,,Paid,,,,,,,,,
hnh2107_board3.pdf,hnh2107,Completed,Mylar,$18.00 ,19.60,2/21,,36x24,,Unpaid,,,,,,,,,
hnh2107_board_precedent.pdf,hnh2107,Completed,Mylar,$18.00 ,19.60,2/21,,36x24,,Unpaid,,,,,,,,,
Seed Vault dcb2158.psd,dcb2158,Completed,Heavyweight Bond,$12.00 ,13.07,2/21,,34x22,,Unpaid,,,,,,,,,
laf2124_miniscenes.pdf,laf2124,Completed,Lightweight Bond,$8.00 ,8.71,2/21,,24x24,,Unpaid,,,,,,,,,
Program Diagram.pdf,,Cancelled: no UNI,,,0.00,2/21,,,,,,,,,,,,,
bah2150_quarter-1.pdf,bah2150,Completed,Heavyweight Bond,$8.00 ,8.71,2/21,,36x24,,Unpaid,,,,,,,,,
MWD2118ProgramSections.pdf x 2 ,MWD2118,Completed,Lightweight Bond,$18.00 ,19.60,2/21,,24x36,,Unpaid,,,,,,,,,
acc2189.pdf,acc2189,Completed,Mylar,$18.00 ,19.60,2/21,,36x24,,Unpaid,,,,,,,,,
ab3880 site plan,ab3880 ,Completed,Mylar,$18.00 ,19.60,2/21,,36x24,,Unpaid,,,,,,,,,
"lmw2167_chase_1,2,3,5.pdf",lmw2167,Completed,Heavyweight Bond,$48.00 ,52.26,2/21,,36x18 (4),,Unpaid,,,,,,,,,
pin_up_1_4_bg2464.pdf,bg2464,Completed,Lightweight Bond,$16.00 ,17.42,2/21,,36x48,kr2202,Unpaid,,,,,,,,,
bfg2110_BANK_PRE_Infographic_001.pdf,bfg2110,Completed,Mylar,$126.00 ,137.18,2/21,,(3) 36x54,kr2202,Unpaid,,,,,,,,,
mil2119Pinup2.21.14.ai,mil2119,Completed,Mylar,$29.00 ,31.57,2/21,,(2) 36x18,kr2202,Unpaid,rotated incorrectly,,,,,,,,
sl3620_activist.pdf,sl3620,Completed,Mylar,$18.00 ,19.60,2/21,,18x18,kr2202,Paid,,,,,,,,,
gz2204 quarter review.pdf,gz2204,Completed,Mylar,$18.00 ,19.60,2/21,,36x14,kr2202,Unpaid,,,,,,,,,
mtk2127 Quarter Review Rothstein.pdf,mtk2127,Completed,Mylar,$45.00 ,48.99,2/21,,36x54,kr2202,Unpaid,,,,,,,,,
aer2161_kleinboard.pdf,aer2161,Completed,Lightweight Bond,$20.00 ,21.78,2/21,,36x60,kr2202,Unpaid,,,,,,,,,
nma2138_Programming_FinalBoards.pdf,nma2138,Completed,Heavyweight Bond,$36.00 ,39.20,2/21,,36x24 (3),kr2202,Unpaid,,,,,,,,,
,,,,,,2/22,,,,,,,,,,,,,
,,,,,,2/23,,,,,,,,,,,,,
dyk2111_aaa.pdf,dyk2111,Completed,Heavyweight Bond,$12.00 ,13.07,2/24,,36x24,kr2202,Paid,,,,,,,,,
Seed Bank 2d Drawing 1 dcb2158.psd,dcb2158,Completed,Heavyweight Bond,$12.00 ,13.07,2/24,,36x22,kr2202,Paid,,,,,,,,,
ak3266,ak3266,Completed,Heavyweight Bond,$12.00 ,13.07,2/24,,36x24,kr2202,Paid,,,,,,,,,
tar2124_PRINTS FOR WORKSHOP_REV.pdf,tar2124,Completed,Heavyweight Bond,$72.00 ,78.39,2/24,,36 x 72 (2),xf2130,Unpaid,,,,,,,,,
yn2260_Assignment1_022214.pdf,yn2260,Completed,Lightweight Bond,$8.00 ,8.71,2/24,,36x24,lsm2152,Paid,,,,,,,,,
clm2202_.25Review.pdf,clm2202,Completed,Lightweight Bond,$8.00 ,8.71,2/24,,24x36,mih2113,Paid,,,,,,,,,
Arunachala_D 3.ai,vl2302,Cancelled: no UNI,Lightweight Bond,,0.00,2/24,,,,,,,,,,,,,
TAMILNADU_NOTRANSPARENCY [Converted].ai,vl2302,Cancelled: no UNI,Lightweight Bond,,0.00,2/24,,,,,,,,,,,,,
msl2183_.25 review boards.pdf,msl2183,Completed,Lightweight Bond,$8.00 ,8.71,2/24,,24x36,mih2113,Paid,,,,,,,,,
jwl2158_Pin Up 2.24.2014.pdf,jwl2158,Completed,Heavyweight Bond,$18.00 ,19.60,2/24,,36x36,mih2113,Unpaid,,,,,,,,,
MHK2148_Final Board_1-4Review.pdf,mhk2148,Completed,Heavyweight Bond,$6.00 ,6.53,2/24,,12x36,mih2113,Paid,,,,,,,,,
yg2341_b1.pdf,yg2341,Resend: Incorrect size 13x19,Heavyweight Bond,,0.00,2/24,,,,,,,,,,,,,
"avd2116_review (1,2,3)",avd2116,Completed,Heavyweight Bond,$12.00 ,13.07,2/24,,36x24,el2717,Paid,,,,,,,,,
yg2341_B1,yg2341,Completed,Heavyweight Bond,$12.00 ,13.07,2/24,,36x24,el2717,Paid,,,,,,,,,
ak3268_boards.pdf,ak3268,Completed,Mylar,$36.00 ,39.20,2/24,,36x24 (2x),mih2113,Paid,,,,,,,,,
mhk2148_final boards,mhk2148,Completed,Heavyweight Bond,$12.00 ,13.07,2/24,,36x24,el2717,Paid,,,,,,,,,
A9R287C,yg2341,Cancelled: no UNI,Heavyweight Bond,$12.00 ,13.07,2/24,,,,,,,,,,,,,
yz2589_36_24,yz2589,Completed,Lightweight Bond,$8.00 ,8.71,2/24,,36x24,el2717,Paid,,,,,,,,,
B2.pdf,yg2341,Cancelled: no UNI,Heavyweight Bond,,0.00,2/24,,incorrect size: 13x19,,,,,,,,,,,
b3.pdf,yg2341,Cancelled: no UNI,Heavyweight Bond,,0.00,2/24,,,,,,,,,,,,,
yg2341_b2.pdf,yg2341,Completed,Heavyweight Bond,$12.00 ,13.07,2/24,,24x36,Diana,Paid,,,,,,,,,
yg2341_b3-01.pdf,yg2341,Completed,Heavyweight Bond,$12.00 ,13.07,2/24,,24x36,mih2113,Paid,,,,,,,,,
jrb2203_FootingPlan.pdf,jrb2203,Completed,Lightweight Bond,$12.00 ,13.07,2/25,,24x36,hk2658,Unpaid,,,,,,,,,
CB2804 TECH midterm.ai,CB2804 ,Completed,Lightweight Bond,$32.00 ,34.84,2/25,,36x48 (x2),hk2658,Paid,,,,,,,,,
